"TIME","GEO","SEX","UNIT","Value"
"2019W05","Czechia","Females","Number","1 306"
"2019W05","Denmark","Total","Number","1 209"
"2019W05","Denmark","Males","Number","646"
"2019W05","Denmark","Females","Number","563"
"2019W05","Germany (until 1990 former territory of the FRG)","Total","Number","19 812"
"2019W05","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W05","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W05","Estonia","Total","Number","325"
"2019W05","Estonia","Males","Number","143"
"2019W05","Estonia","Females","Number","182"
"2019W05","Greece","Total","Number","2 893"
"2019W05","Greece","Males","Number","1 448"
"2019W05","Greece","Females","Number","1 445"
"2019W05","Spain","Total","Number","9 964"
"2019W05","Spain","Males","Number","4 934"
"2019W05","Spain","Females","Number","5 030"
"2019W05","France","Total","Number","14 199"
"2019W05","France","Males","Number","6 979"
"2019W05","France","Females","Number","7 220"
"2019W05","Croatia","Total","Number","1 286"
"2019W05","Croatia","Males","Number","639"
"2019W05","Croatia","Females","Number","647"
"2019W05","Italy","Total","Number","15 807"
"2019W05","Italy","Males","Number","7 514"
"2019W05","Italy","Females","Number","8 293"
"2019W05","Cyprus","Total","Number","152"
"2019W05","Cyprus","Males","Number","82"
"2019W05","Cyprus","Females","Number","70"
"2019W05","Latvia","Total","Number","636"
"2019W05","Latvia","Males","Number","274"
"2019W05","Latvia","Females","Number","362"
"2019W05","Lithuania","Total","Number","895"
"2019W05","Lithuania","Males","Number","408"
"2019W05","Lithuania","Females","Number","487"
"2019W05","Luxembourg","Total","Number","101"
"2019W05","Luxembourg","Males","Number","56"
"2019W05","Luxembourg","Females","Number","45"
"2019W05","Hungary","Total","Number","3 384"
"2019W05","Hungary","Males","Number","1 566"
"2019W05","Hungary","Females","Number","1 818"
"2019W05","Malta","Total","Number","102"
"2019W05","Malta","Males","Number","48"
"2019W05","Malta","Females","Number","54"
"2019W05","Netherlands","Total","Number","3 144"
"2019W05","Netherlands","Males","Number","1 579"
"2019W05","Netherlands","Females","Number","1 565"
"2019W05","Austria","Total","Number","1 733"
"2019W05","Austria","Males","Number","834"
"2019W05","Austria","Females","Number","899"
"2019W05","Poland","Total","Number","9 362"
"2019W05","Poland","Males","Number","4 715"
"2019W05","Poland","Females","Number","4 647"
"2019W05","Portugal","Total","Number","2 899"
"2019W05","Portugal","Males","Number","1 392"
"2019W05","Portugal","Females","Number","1 507"
"2019W05","Romania","Total","Number","6 215"
"2019W05","Romania","Males","Number","3 212"
"2019W05","Romania","Females","Number","3 003"
"2019W05","Slovenia","Total","Number","515"
